-25.3052368164,-78.0556030273,7.0,1
33.5880508423,-544.583435059,7.0,1
-72.593460083,-239.68586731,7.0,2
-37.5510215759,-116.551589966,7.0,5
-51.9435501099,-170.086975098,7.0,5
-78.6208724976,-302.576446533,7.0,5
-57.9711837769,-402.488525391,7.0,5
-62.4555130005,-339.569152832,7.0,5
-23.1934738159,-536.683654785,7.0,6
-11.4825496674,-31.9350814819,7.0,4
-62.001701355,-205.558959961,7.0,0
1.95226287842,-554.516540527,7.0,0
42.0062217712,-522.001037598,7.0,0
-45.0715332031,-403.063323975,7.0,0
-70.1193847656,-300.902862549,7.0,0
-17.9014396667,-75.2703018188,7.0,0
-39.7776565552,-126.477348328,7.0,1
-55.4467811584,-178.806015015,7.0,1
-76.5088577271,-312.522247314,7.0,1
-54.3575820923,-418.236724854,7.0,1
-91.7516479492,-434.135437012,7.0,0
-110.022590637,-359.124420166,7.0,1
-32.5874671936,-499.949005127,7.0,0
-19.5239696503,-548.873474121,7.0,1
23.5554199219,-444.808685303,7.0,6
20.6301574707,-435.312255859,7.0,1
-64.7623138428,-325.781463623,7.0,1
-55.235294342,-207.93901062,7.0,5
-53.4179229736,-200.16242981,7.0,1
-45.6820373535,-164.956619263,7.0,5
-43.4324989319,-157.243911743,7.0,1
0.234531402588,-14.0836467743,7.0,1